Off CD,Fo Name,Auth No,P/L Eff Dt,P/L exp Dt,Permit Status,Allotment Number,Allotment Name,Lvsk #,Lvsk Kind,Pd Beg Dt,Pd End Dt,Type Use,PL %,Aums
LLMTC02000,MILES CITY FIELD OFFICE,2502371,03/01/2010,02/28/2020,,00419,SAWMILL CREEK,130,CATTLE,4/1/2011,11/30/2011,ACTIVE,88,918
LLMTC02000,MILES CITY FIELD OFFICE,2502371,03/01/2010,02/28/2020,,00419,SAWMILL CREEK,1,CATTLE,4/1/2011,8/1/2011,ACTIVE,100,4
LLMTC02000,MILES CITY FIELD OFFICE,2502371,03/01/2010,02/28/2020,,00419,SAWMILL CREEK,13,CATTLE,3/1/2011,2/28/2012,CUSTODIAL,100,158
LLMTC02000,MILES CITY FIELD OFFICE,2502372,11/26/2009,11/26/2018,,00420,WILSON UNIT,7,CATTLE,3/1/2010,2/28/2011,CUSTODIAL,100,88
LLMTC02000,MILES CITY FIELD OFFICE,2502373,03/01/2015,02/28/2018,,00421,HAIGHT,27,CATTLE,3/1/2015,2/28/2016,CUSTODIAL,100,319
LLMTC02000,MILES CITY FIELD OFFICE,2502374,03/01/2011,02/28/2021,,00422,PENSE AMP,23,CATTLE,3/1/2011,2/23/2012,ACTIVE,100,272
LLMTC02000,MILES CITY FIELD OFFICE,2502374,03/01/2011,02/28/2021,,00422,PENSE AMP,22,CATTLE,3/1/2011,2/28/2012,CUSTODIAL,100,265
LLMTC02000,MILES CITY FIELD OFFICE,2502374,03/01/2011,02/28/2021,,00422,PENSE AMP,413,YRLING CATTLE,4/1/2011,6/1/2011,ACTIVE,58,488
LLMTC02000,MILES CITY FIELD OFFICE,2502374,03/01/2011,02/28/2021,,00422,PENSE AMP,413,CATTLE,6/2/2011,11/29/2011,ACTIVE,58,1425
LLMTC02000,MILES CITY FIELD OFFICE,2502374,03/01/2011,02/28/2021,,00422,PENSE AMP,7,CATTLE,3/1/2011,2/21/2012,ACTIVE,100,82
LLMTC02000,MILES CITY FIELD OFFICE,2502375,03/01/2007,02/28/2017,,00423,I.O.U. RANCH,12,CATTLE,3/1/2016,2/28/2017,CUSTODIAL,100,143
LLMTC02000,MILES CITY FIELD OFFICE,2502375,03/01/2007,02/28/2017,,00423,I.O.U. RANCH,4,CATTLE,3/1/2016,2/28/2017,CUSTODIAL,100,45
LLMTC02000,MILES CITY FIELD OFFICE,2502376,03/01/2016,03/01/2021,,01424,WOLFF INDIVIDUAL,44,CATTLE,3/1/2016,2/28/2017,CUSTODIAL,100,534
LLMTC02000,MILES CITY FIELD OFFICE,2502377,03/01/2008,02/28/2018,,00425,PORCUPINE RANCH,87,CATTLE,3/1/2008,2/28/2009,ACTIVE,100,1044
LLMTC02000,MILES CITY FIELD OFFICE,2502378,03/01/2009,02/28/2019,,00426,PINNACLE RANCH AMP,41,CATTLE,3/1/2000,2/28/2001,ACTIVE,100,492
LLMTC02000,MILES CITY FIELD OFFICE,2502379,03/01/2010,02/28/2020,,00433,BLEVINS ALLOTMENT,1,CATTLE,3/1/2010,2/28/2011,CUSTODIAL,100,6
LLMTC02000,MILES CITY FIELD OFFICE,2502379,03/01/2010,02/28/2020,,00433,BLEVINS ALLOTMENT,1,CATTLE,3/1/2010,2/28/2011,CUSTODIAL,100,9
LLMTC02000,MILES CITY FIELD OFFICE,2502380,03/01/2012,02/28/2022,,00428,SPRING CREEK,2,CATTLE,3/1/2012,2/28/2013,CUSTODIAL,100,20
LLMTC02000,MILES CITY FIELD OFFICE,2502381,03/01/2009,02/28/2019,,00793,WOODFORD,1,CATTLE,3/1/2010,2/28/2011,CUSTODIAL,100,8
LLMTC02000,MILES CITY FIELD OFFICE,2502382,03/01/2014,03/31/2017,,00029,SAGE HEN CREEK,30,CATTLE,3/1/2013,2/28/2014,CUSTODIAL,100,364
LLMTC02000,MILES CITY FIELD OFFICE,2502383,03/01/2008,02/28/2018,,00429,ZEMPLE INDIVIDUAL,4,CATTLE,3/1/2008,2/28/2009,CUSTODIAL,100,50
LLMTC02000,MILES CITY FIELD OFFICE,2502384,03/01/2008,02/28/2018,,00374,SOUTH TAYLOR,83,CATTLE,5/1/2008,11/1/2008,ACTIVE,100,505
LLMTC02000,MILES CITY FIELD OFFICE,2502384,03/01/2008,02/28/2018,,00374,SOUTH TAYLOR,1,CATTLE,5/1/2008,9/30/2008,ACTIVE,100,5
LLMTC02000,MILES CITY FIELD OFFICE,2502385,03/01/2015,02/28/2016,FLPMA 402(C)(2)/APPROP ACT,01142,GUMBO,540,CATTLE,3/1/2015,2/28/2016,CUSTODIAL,27,1748
LLMTC02000,MILES CITY FIELD OFFICE,2502386,05/01/2013,06/15/2016,,00475,SHEEP CAMP,9,CATTLE,5/1/2016,11/10/2016,ACTIVE,100,57
LLMTC02000,MILES CITY FIELD OFFICE,2502387,03/01/2007,02/28/2017,,00476,DDN ALLOTMENT,1,CATTLE,3/1/2017,2/28/2018,CUSTODIAL,100,9
LLMTC02000,MILES CITY FIELD OFFICE,2502389,03/01/2012,02/28/2022,,00478,RIVER ALLOTMENT,7,CATTLE,3/1/2012,2/28/2013,CUSTODIAL,100,86
