Adm State,Admin Office,Field Office,Allotment Number,Allotment Name,Available For Grazing,Grazing Decision,Public Acres,Amp Text,Amp Implement Date,Management Stat Text,Auth No,Permitted Aums,Suspended Aums,Susp Use Temp
CO,LLCOF02000,ROYAL GORGE FO,05059,WAGON TONGUE,Y,,"3,032",,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,05060,31 MILE CREEK,Y,,"1,720",AMP IMPLEMENTED,09/29/2009,IMPROVE CATEGORY,0505472,103,0,0
CO,LLCOF02000,ROYAL GORGE FO,05061,ONE CREEK/CAT GULCH,Y,,"1,625",AMP IMPLEMENTED,10/06/1998,IMPROVE CATEGORY,0505275,94,0,0
CO,LLCOF02000,ROYAL GORGE FO,05062,LOWER BEAVER PARK,Y,,271,,,CUSTODIAL CATEGORY,0505288,12,33,0
CO,LLCOF02000,ROYAL GORGE FO,05063,INDIAN GULCH COMMON,Y,,616,AMP IMPLEMENTED,01/07/1999,MAINTAIN CATEGORY,0501879,66,0,0
CO,LLCOF02000,ROYAL GORGE FO,05064,BURNO MTN,Y,,163,,,CUSTODIAL CATEGORY,0501879,6,0,0
CO,LLCOF02000,ROYAL GORGE FO,05065,COBB CREEK,Y,,80,,,CUSTODIAL CATEGORY,0505290,4,0,
CO,LLCOF02000,ROYAL GORGE FO,05066,SOUTH GARDEN PARK,Y,,120,,,CUSTODIAL CATEGORY,0505447,1,6,0
CO,LLCOF02000,ROYAL GORGE FO,05067,MT PISGAH IND,Y,,143,,,CUSTODIAL CATEGORY,0505299,18,0,
CO,LLCOF02000,ROYAL GORGE FO,05068,PINE GULCH,Y,,920,,,CUSTODIAL CATEGORY,0505305,24,0,0
CO,LLCOF02000,ROYAL GORGE FO,05069,GROUSE MTN.,Y,,"5,099",,,CUSTODIAL CATEGORY,0505293,196,0,0
CO,LLCOF02000,ROYAL GORGE FO,05070,MILL GULCH SOUTH,Y,,160,,,CUSTODIAL CATEGORY,0505399,15,0,0
CO,LLCOF02000,ROYAL GORGE FO,05071,EAST GARDEN PARK,Y,,280,,,CUSTODIAL CATEGORY,0505294,2,21,
CO,LLCOF02000,ROYAL GORGE FO,05072,PHANTOM CANYON,Y,,"8,976",AMP IMPLEMENTED,03/01/1982,IMPROVE CATEGORY,0505252,257,11,0
CO,LLCOF02000,ROYAL GORGE FO,05073,GRAPE CREEK,Y,,"15,233",AMP IMPLEMENTED,04/25/1997,IMPROVE CATEGORY,0504783,268,0,0
CO,LLCOF02000,ROYAL GORGE FO,05074,BULL DOMINGO,Y,,110,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,05075,SOUTH JACK HALL,Y,,393,,,CUSTODIAL CATEGORY,0505298,24,4,0
CO,LLCOF02000,ROYAL GORGE FO,05076,ROCK HOUSE,Y,,731,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,05077,POLE GULCH,Y,,"2,177",,,CUSTODIAL CATEGORY,0505327,100,0,0
CO,LLCOF02000,ROYAL GORGE FO,05078,GEOLOGY CAMP,Y,,640,AMP IMPLEMENTED,09/13/1998,IMPROVE CATEGORY,0504345,140,0,0
CO,LLCOF02000,ROYAL GORGE FO,05079,ELDRED,Y,,350,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,05080,TROUT CREEK SOUTH,Y,,889,,,CUSTODIAL CATEGORY,0504888,105,0,0
CO,LLCOF02000,ROYAL GORGE FO,05081,BUMBACK SPRING,Y,,45,,,CUSTODIAL CATEGORY,0500085,12,0,0
CO,LLCOF02000,ROYAL GORGE FO,05082,WORLEY COUNTRY,Y,,"3,295",AMP IMPLEMENTED,08/01/1983,IMPROVE CATEGORY,0504606,136,0,0
CO,LLCOF02000,ROYAL GORGE FO,05083,OIL WELL FLATS,Y,,"5,663",AMP IMPLEMENTED,09/18/2001,IMPROVE CATEGORY,0504606,239,0,0
CO,LLCOF02000,ROYAL GORGE FO,05084,UPPER BONEYARD,Y,,30,,,CUSTODIAL CATEGORY,0505304,1,6,0
CO,LLCOF02000,ROYAL GORGE FO,05085,DEADMULE GULCH,Y,,240,,,CUSTODIAL CATEGORY,0505305,24,0,0
CO,LLCOF02000,ROYAL GORGE FO,05086,MILL CREEK,Y,,"1,141",AMP IMPLEMENTED,03/15/2007,MAINTAIN CATEGORY,0504819,100,0,0
CO,LLCOF02000,ROYAL GORGE FO,05087,RYE SLOUGH SOUTH,Y,,600,AMP IMPLEMENTED,09/01/1982,IMPROVE CATEGORY,0505486,34,0,0
CO,LLCOF02000,ROYAL GORGE FO,05088,TROUT CREEK NORTH,Y,,540,,,CUSTODIAL CATEGORY,0505533,57,0,
CO,LLCOF02000,ROYAL GORGE FO,05089,N. TALLAHASSEE CREEK,Y,,"1,810",,,CUSTODIAL CATEGORY,0505272,65,181,0
CO,LLCOF02000,ROYAL GORGE FO,05090,FELCH CREEK,Y,,"1,108",AMP IMPLEMENTED,09/18/2001,IMPROVE CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,05091,MAVERICK GULCH,Y,,"3,910",AMP IMPLEMENTED,05/01/1983,IMPROVE CATEGORY,0505310,149,76,0
CO,LLCOF02000,ROYAL GORGE FO,05092,GRAVEL PIT,Y,,300,,,CUSTODIAL CATEGORY,0505311,10,16,
CO,LLCOF02000,ROYAL GORGE FO,05093,PONY GULCH,Y,,"1,260",AMP IMPLEMENTED,01/01/1983,IMPROVE CATEGORY,0505255,117,0,0
CO,LLCOF02000,ROYAL GORGE FO,05094,BECKWITH,Y,,160,,,CUSTODIAL CATEGORY,0505405,12,21,0
CO,LLCOF02000,ROYAL GORGE FO,05095,BOND,Y,,"2,713",AMP IMPLEMENTED,12/04/1997,MAINTAIN CATEGORY,0505252,110,12,0
CO,LLCOF02000,ROYAL GORGE FO,05096,COTTONWOOD CK.,Y,,"5,243",AMP IMPLEMENTED,02/01/1983,IMPROVE CATEGORY,0505314,544,0,0
CO,LLCOF02000,ROYAL GORGE FO,05097,KELLY CREEK,Y,,300,,,CUSTODIAL CATEGORY,0500248,10,0,0
CO,LLCOF02000,ROYAL GORGE FO,05098,OIL CREEK COMMON,Y,,"1,812",AMP IMPLEMENTED,03/10/1999,IMPROVE CATEGORY,0505285,70,0,0
CO,LLCOF02000,ROYAL GORGE FO,05099,BARNARD CREEK,Y,,283,,,CUSTODIAL CATEGORY,0505315,22,12,0
CO,LLCOF02000,ROYAL GORGE FO,05100,BARNARD CREEK EAST,Y,,76,,,CUSTODIAL CATEGORY,0504995,5,0,0
CO,LLCOF02000,ROYAL GORGE FO,05101,TRACHYTE KNOB,Y,,233,,,CUSTODIAL CATEGORY,0505315,9,22,0
CO,LLCOF02000,ROYAL GORGE FO,05103,OIL CREEK NORTH,Y,,658,,,CUSTODIAL CATEGORY,0505315,16,0,0
CO,LLCOF02000,ROYAL GORGE FO,05104,LOOKOUT POINT,Y,,427,AMP IMPLEMENTED,01/01/1983,CUSTODIAL CATEGORY,0505409,38,0,0
CO,LLCOF02000,ROYAL GORGE FO,05106,VVN RANCH,Y,,813,AMP IMPLEMENTED,06/26/2012,IMPROVE CATEGORY,0504844,75,0,0
CO,LLCOF02000,ROYAL GORGE FO,05107,LOWER GRANITE,Y,,"3,454",AMP IMPLEMENTED,10/19/1998,IMPROVE CATEGORY,0501884,129,0,
CO,LLCOF02000,ROYAL GORGE FO,05108,BADITO WEST,Y,,80,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,05109,BADGER CREEK,Y,,"36,852",AMP IMPLEMENTED,04/10/2000,IMPROVE CATEGORY,0505323,"1,214",969,0
CO,LLCOF02000,ROYAL GORGE FO,05110,STRAUB MTN,Y,,"1,810",,,CUSTODIAL CATEGORY,0505317,70,85,
