Adm State,Admin Office,Field Office,Allotment Number,Allotment Name,Available For Grazing,Grazing Decision,Public Acres,Amp Text,Amp Implement Date,Management Stat Text,Auth No,Permitted Aums,Suspended Aums,Susp Use Temp
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51430,HYL,Y,,"3,730",AMP IMPLEMENTED,04/01/1979,MAINTAIN CATEGORY,0201552,891,0,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51500,WHITETAIL,Y,,"7,360",AMP IMPLEMENTED,07/01/1983,IMPROVE CATEGORY,0205150,336,172,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51510,CLAYTON,Y,,"3,198",AMP IMPLEMENTED,08/01/1981,MAINTAIN CATEGORY,0201798,190,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51520,BRUSHY CANYON,Y,,"4,200",AMP IMPLEMENTED,09/01/1981,IMPROVE CATEGORY,0201979,150,133,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51540,HAYSTACK,Y,,710,CMP IMPLEMENTED,08/15/2011,CUSTODIAL CATEGORY,0205154,36,130,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51550,NIPPERS-(BLUE MTN),Y,,"2,300",CMP IMPLEMENTED,08/15/2011,IMPROVE CATEGORY,0205155,144,90,0
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51560,OAK CREEK,Y,,"2,240",CMP IMPLEMENTED,08/15/2011,IMPROVE CATEGORY,0205156,75,173,0
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51570,MIDWAY,Y,,"2,510",CMP IMPLEMENTED,08/15/2011,MAINTAIN CATEGORY,0200976,83,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51580,PARADISE,Y,,823,AMP IMPLEMENTED,01/01/1985,CUSTODIAL CATEGORY,0205158,168,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51600,CAVE CREEK,Y,,720,,,CUSTODIAL CATEGORY,0205160,36,36,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51610,RODEO RIVER,Y,,640,AMP IMPLEMENTED,08/01/1985,CUSTODIAL CATEGORY,0205161,84,0,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51620,RED MOUNTAIN,Y,,290,,,CUSTODIAL CATEGORY,0205162,24,0,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51640,RED WING RANCH,Y,,"1,900",AMP IMPLEMENTED,10/01/1982,MAINTAIN CATEGORY,0205164,432,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51650,SMALL,Y,,80,,,CUSTODIAL CATEGORY,0205118,0,0,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51670,FOOTE WASH,Y,,200,,,CUSTODIAL CATEGORY,0205167,0,0,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51690,GRIPE,Y,,770,,,CUSTODIAL CATEGORY,0205169,0,0,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51730,DANKWORTH,Y,,120,,,CUSTODIAL CATEGORY,0205173,12,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51760,ROYCE,Y,,120,,,CUSTODIAL CATEGORY,0205176,0,0,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51790,WILLOW,Y,,"6,290",,,CUSTODIAL CATEGORY,,,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51800,MUSKHOG,Y,,974,AMP IMPLEMENTED,10/01/1982,MAINTAIN CATEGORY,0205127,84,0,0
AZ,LLAZG01000,SAFFORD FIELD OFFICE,51810,HACKBERRY,Y,,"4,434",AMP IMPLEMENTED,03/01/1986,CUSTODIAL CATEGORY,0202095,420,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52030,ALLAIRE,Y,,160,,,CUSTODIAL CATEGORY,0205203,9,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52070,BOSS,Y,,400,,,CUSTODIAL CATEGORY,0205207,48,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52090,SILVER CREEK,Y,,280,,,CUSTODIAL CATEGORY,0202099,60,0,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52100,ADAMS PEAK,Y,,254,,,CUSTODIAL CATEGORY,0205210,24,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52160,PAT HILLS,Y,,80,,,CUSTODIAL CATEGORY,0205216,15,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52180,BIDIGIN,Y,,"1,202",,,CUSTODIAL CATEGORY,0201409,108,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52200,MONZINGO,Y,,20,,,CUSTODIAL CATEGORY,0205220,3,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52210,HOPKINS,Y,,480,,,CUSTODIAL CATEGORY,0201757,48,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52220,D'AMICO,Y,,380,,,CUSTODIAL CATEGORY,0201408,22,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52250,MUD SPRINGS,Y,,"1,044",,,CUSTODIAL CATEGORY,0201568,60,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52280,TWIST,Y,,937,,,CUSTODIAL CATEGORY,0200046,132,0,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52300,OWENS,Y,,264,,,CUSTODIAL CATEGORY,0200126,49,0,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52340,FLANDERS,Y,,160,,,CUSTODIAL CATEGORY,0205234,9,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52370,GLEN,Y,,103,,,CUSTODIAL CATEGORY,0205237,14,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52380,BUCKHORN RANCH,Y,,480,,,CUSTODIAL CATEGORY,0205238,39,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52430,HUSBAND,Y,,800,,,CUSTODIAL CATEGORY,0205243,75,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52440,"GUADALUPE WEST, AZ",Y,,"7,085",AMP IMPLEMENTED,11/26/1990,IMPROVE CATEGORY,0200062,"1,560",,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52490,SWISS HELM,Y,,884,,,CUSTODIAL CATEGORY,0205249,70,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52540,SYCAMORE,Y,,"1,147",,,MAINTAIN CATEGORY,0205254,257,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52620,MOORE,Y,,327,,,CUSTODIAL CATEGORY,0205262,31,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52720,WALDEN,Y,,80,,,CUSTODIAL CATEGORY,0200863,12,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52730,ROGER RIGGS ALLOT.,Y,,424,,,CUSTODIAL CATEGORY,0205273,80,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52750,GEORGE ROGERS ALLOT.,Y,,516,,,CUSTODIAL CATEGORY,0200091,48,0,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52760,MYRL ROLL ALLOTMENT,Y,,480,,,CUSTODIAL CATEGORY,0201969,54,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52790,RONALD SEARLE ALLOT.,Y,,373,CMP IMPLEMENTED,08/15/2011,CUSTODIAL CATEGORY,0200125,56,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52810,BEN SNURE ALLOTMENT,Y,,560,,,CUSTODIAL CATEGORY,0205281,108,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52850,MOORE,Y,,40,,,CUSTODIAL CATEGORY,0205285,7,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52860,WIEGAND,Y,,360,,,CUSTODIAL CATEGORY,0205286,19,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52910,JACKSON,Y,,453,,,CUSTODIAL CATEGORY,0205291,48,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52930,TOWENS,Y,,718,,,CUSTODIAL CATEGORY,,,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,52940,RED BIRD HILLS,Y,,"1,190",,,CUSTODIAL CATEGORY,0201293,216,0,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,54040,STARLIGHT,Y,,"1,855",,,CUSTODIAL CATEGORY,0205404,300,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,54100,ADAMS PEAK,Y,,793,,,CUSTODIAL CATEGORY,0205410,96,,
AZ,LLAZG01000,SAFFORD FIELD OFFICE,54120,MCGOFFIN,Y,,366,,,CUSTODIAL CATEGORY,0205412,60,,
AZ,LLAZG02000,TUCSON FO,00053,SAN PEDRO RNCA,Y,,"49,177",,,UNCLASSIFIED,,,,
AZ,LLAZG02000,TUCSON FO,06000,NEWMAN PEAK,Y,,"6,394",,,CUSTODIAL CATEGORY,0202600,63,,
AZ,LLAZG02000,TUCSON FO,06001,TWIN BUTTES,Y,,"2,380",,,CUSTODIAL CATEGORY,0200033,264,,
AZ,LLAZG02000,TUCSON FO,06003,ARIVACA,Y,,"1,564",,,CUSTODIAL CATEGORY,0201413,324,,
AZ,LLAZG02000,TUCSON FO,06004,DURHAM WASH,Y,,280,,,CUSTODIAL CATEGORY,0200012,32,0,
AZ,LLAZG02000,TUCSON FO,06006,BALCOM,Y,,"2,902",,,CUSTODIAL CATEGORY,0200060,432,,
AZ,LLAZG02000,TUCSON FO,06015,ASH MOUNTAIN,Y,,586,,,CUSTODIAL CATEGORY,0202615,72,,
AZ,LLAZG02000,TUCSON FO,06016,TROY,Y,,"4,370",,,MAINTAIN CATEGORY,0202616,883,,
AZ,LLAZG02000,TUCSON FO,06018,MARTINEZ WASH,Y,,200,,,CUSTODIAL CATEGORY,0202618,42,,
AZ,LLAZG02000,TUCSON FO,06022,FRESNAL CANYON,Y,,600,,,CUSTODIAL CATEGORY,0202622,72,,
AZ,LLAZG02000,TUCSON FO,06023,CERRO COLORADO,Y,,"1,780",,,CUSTODIAL CATEGORY,0200118,336,,
AZ,LLAZG02000,TUCSON FO,06025,HELVETIA,Y,,"1,114",,,CUSTODIAL CATEGORY,0201214,156,,
AZ,LLAZG02000,TUCSON FO,06031,THOMAS CANYON,Y,,344,,,CUSTODIAL CATEGORY,0202632,36,,
AZ,LLAZG02000,TUCSON FO,06032,WHITLOW,Y,,"7,710",,,MAINTAIN CATEGORY,0202633,588,0,
AZ,LLAZG02000,TUCSON FO,06039,COYOTE,Y,,"11,227",AMP PROPOSED,,MAINTAIN CATEGORY,0202640,"1,164",,
AZ,LLAZG02000,TUCSON FO,06040,LA TORTUGA,Y,,"7,704",,,MAINTAIN CATEGORY,0202641,432,0,0
AZ,LLAZG02000,TUCSON FO,06042,INDIAN CAMP,Y,,"4,678",,,MAINTAIN CATEGORY,0201962,432,,
AZ,LLAZG02000,TUCSON FO,06059,BATTLE AXE,Y,,"13,113",AMP WRITTEN,,MAINTAIN CATEGORY,0200112,"1,560",0,0
AZ,LLAZG02000,TUCSON FO,06062,OLSEN WASH,Y,,40,,,CUSTODIAL CATEGORY,0202663,12,,
AZ,LLAZG02000,TUCSON FO,06067,RAFTER SIX,Y,,"15,855",AMP PROPOSED,,MAINTAIN CATEGORY,0200877,"1,664",0,
AZ,LLAZG02000,TUCSON FO,06078,HAYDON,Y,,520,,,CUSTODIAL CATEGORY,0202180,61,,
AZ,LLAZG02000,TUCSON FO,06083,OWL HEAD,Y,,"12,388",,,MAINTAIN CATEGORY,0202684,"1,020",0,
